Index,description,milePost,publicVideoURL,lat,lon,routePrefix,routeSuffix,routeNumber,cameraCategories,cctvIp,commMode,opStatus,name,id,lastCachedDataUpdateTime
1,I-270 & Old Hundred Rd (MD 109)(CAM 165),22.27,https://chart.maryland.gov/Video/GetVideo/7a00a1dc01250075004d823633235daa,39.2773,-77.3236,IS,,270,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,I-270 & Old Hundred Rd (MD 109),7a00a1dc01250075004d823633235daa,1729719295987
2,I-70 East of I-270,53.13,https://chart.maryland.gov/Video/GetVideo/9201ff5801f700d700437a45351f0214,39.39761,-77.42188,IS,,70,['Western MD'],strmr5.sha.maryland.gov,ONLINE,COMM_MARGINAL,710002,9201ff5801f700d700437a45351f0214,1729719295987
3,US 50 AT MD 424,11.45,https://chart.maryland.gov/Video/GetVideo/000109f6004b00a6004af03676235daa,38.96042,-76.65623,US,,50,['Annapolis'],strmr5.sha.maryland.gov,ONLINE,OK,US 50 AT MD 424 Ex - 16 (502004),000109f6004b00a6004af03676235daa,1729719295987
4,I-97 AT NEW CUT ROAD,12.2,https://chart.maryland.gov/Video/GetVideo/00012848007300bc004c823633235daa,39.128563,-76.64165,IS,,97,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,COMM_MARGINAL,502021,00012848007300bc004c823633235daa,1729719295987
5,I-695 Median at MM32.3 (C027),31.02,https://chart.maryland.gov/Video/GetVideo/3801d561005e00d00057fa36c4235c0a,39.358448,-76.50345,IS,,695,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,I-695 MEDIAN PRIOR TO I-95 NORTH SIDE (C-027),3801d561005e00d00057fa36c4235c0a,1729719295987
6,I-70 E at EX 87 US 29,86.71,https://chart.maryland.gov/Video/GetVideo/d6015dff0075004f0060d336c4235c0a,39.29633,-76.83091,IS,,70,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,713023,d6015dff0075004f0060d336c4235c0a,1729719295987
7,US 301 HWN BRIDGE G8,1.7,https://chart.maryland.gov/Video/GetVideo/15026b78004600330063d336c4235c0a,38.363857,-76.984184,US,,301,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,US 301 HWN BRIDGE G8 C-308,15026b78004600330063d336c4235c0a,1729719295987
8,"ICC MD 200 WB, DECKOVER APPROACH, MM 4.7 (C208)",4.7,https://chart.maryland.gov/Video/GetVideo/7f014af00502004e004d06363d235daa,39.137234,-77.13176,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,COMM_FAILURE,"ICC MD 200 WB, DECKOVER APPROACH, MM 4.7 (C-208)",7f014af00502004e004d06363d235daa,1729719295987
9,US 301 HWN BRIDGE M.M. 141.5,0.0,https://chart.maryland.gov/Video/GetVideo/1201953f005200330063d336c4235c0a,38.357517,-77.02986,,,0,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,US 301 HWN BRIDGE MM. 141.5 C-323,1201953f005200330063d336c4235c0a,1729719295987
10,RWIS I-270 AT MD 109,22.27,https://chart.maryland.gov/Video/GetVideo/2100d19c00cc00180053fa36c4235c0a,39.277,-77.323326,IS,,270,['Wash. DC'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS I-270 AT MD 109,2100d19c00cc00180053fa36c4235c0a,1729719295987
11,MD 90 AT MD 589,6.0,https://chart.maryland.gov/Video/GetVideo/c1000a2d004700e700498436cf235d0a,38.380375,-75.170685,MD,,90,['Eastern Shore'],strmr5.sha.maryland.gov,ONLINE,OK,MD 90 AT MD 589 (123003),c1000a2d004700e700498436cf235d0a,1729719295987
12,Columbia Pk (US 29) at Fairland Rd (CAM 130),7.68,https://chart.maryland.gov/Video/GetVideo/0701fd2100120075004d823633235daa,39.073334,-76.95575,US,,29,['Wash. DC'],strmr3.sha.maryland.gov,ONLINE,OK,Columbia Pk (US 29) at Fairland Rd,0701fd2100120075004d823633235daa,1729719295987
13,I-95/495 AT MD 4,10.82,https://chart.maryland.gov/Video/GetVideo/6a01d75801f700d700437a45351f0214,38.84008,-76.86648,IS,,95,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,COMM_FAILURE,I-95/495 AT MD 4 (316012),6a01d75801f700d700437a45351f0214,1729719295987
14,"ICC MD 200 EB, DECKOVER INTERIOR, MM 4.5 (C206)",4.5,https://chart.maryland.gov/Video/GetVideo/a70150c00554004e004d06363d235daa,39.13806,-77.13517,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,"ICC MD 200 EB, DECKOVER INTERIOR, MM 4.5 (C-206)",a70150c00554004e004d06363d235daa,1729719295987
15,I-95 S of Md 272 (C004) MP 99.4,114.15,https://chart.maryland.gov/Video/GetVideo/d501656c00e20039004606363d235daa,39.629566,-75.96052,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C004,d501656c00e20039004606363d235daa,1729719295987
16,I-270 & Old Georgetown Rd (MD 187)(CAM 4),1.64,https://chart.maryland.gov/Video/GetVideo/a900598700f30074004d823633235daa,39.03092,-77.12762,IS,,270,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,I-270 & Old Georgetown Rd (MD 187),a900598700f30074004d823633235daa,1729719295987
17,I-70 West at St. Paul Rd,19.5,https://chart.maryland.gov/Video/GetVideo/1b00d699004a008e0057fa36c4235c0a,39.6518,-77.88799,IS,,70,['Western MD'],strmr3.sha.maryland.gov,ONLINE,OK,621006,1b00d699004a008e0057fa36c4235c0a,1729719295987
